,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,agi_inflow_capita,agi_outflow_capita
0,1516,2015.0,2016.0,24766,628146000,20365,461537000,4401,166609000,25363.239925704594,22663.245764792537
1,1617,2016.0,2017.0,36129,1032249000,27161,694879000,8968,337370000,28571.203188574276,25583.70457641471
2,1718,2017.0,2018.0,28216,817108000,22782,575467000,5434,241641000,28959.03033739722,25259.722588008077
3,1819,2018.0,2019.0,27901,871454000,22075,615063000,5826,256391000,31233.790903551842,27862.42355605889
4,1920,2019.0,2020.0,32944,1061161000,24649,686993000,8295,374168000,32211.055123846527,27871.02925067954
