,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
19257,Broward County,FL,Hall County,GA,57,1706,1706000,1516,2015,2016,inflow,Hall County-Broward County-FL-1516,"Broward County, FL"
19258,Stephens County,GA,Hall County,GA,45,1311,1311000,1516,2015,2016,inflow,Hall County-Stephens County-GA-1516,"Stephens County, GA"
19259,Henry County,GA,Hall County,GA,51,1539,1539000,1516,2015,2016,inflow,Hall County-Henry County-GA-1516,"Henry County, GA"
19260,Palm Beach County,FL,Hall County,GA,51,1475,1475000,1516,2015,2016,inflow,Hall County-Palm Beach County-FL-1516,"Palm Beach County, FL"
19261,Rockdale County,GA,Hall County,GA,48,685,685000,1516,2015,2016,inflow,Hall County-Rockdale County-GA-1516,"Rockdale County, GA"
19262,Chatham County,GA,Hall County,GA,38,559,559000,1516,2015,2016,inflow,Hall County-Chatham County-GA-1516,"Chatham County, GA"
19263,Houston County,GA,Hall County,GA,44,1061,1061000,1516,2015,2016,inflow,Hall County-Houston County-GA-1516,"Houston County, GA"
19490,Jackson County Total Migration-US and Foreign,GA,Jackson County,GA,5135,125394,125394000,1516,2015,2016,inflow,Jackson County total migration-1516,"Jackson County Total Migration-US and Foreign, GA"
19496,Gwinnett County,GA,Jackson County,GA,1102,33022,33022000,1516,2015,2016,inflow,Jackson County-Gwinnett County-GA-1516,"Gwinnett County, GA"
19497,Hall County,GA,Jackson County,GA,784,19373,19373000,1516,2015,2016,inflow,Jackson County-Hall County-GA-1516,"Hall County, GA"
19498,Barrow County,GA,Jackson County,GA,502,11003,11003000,1516,2015,2016,inflow,Jackson County-Barrow County-GA-1516,"Barrow County, GA"
19499,Clarke County,GA,Jackson County,GA,351,7742,7742000,1516,2015,2016,inflow,Jackson County-Clarke County-GA-1516,"Clarke County, GA"
19500,Banks County,GA,Jackson County,GA,325,5402,5402000,1516,2015,2016,inflow,Jackson County-Banks County-GA-1516,"Banks County, GA"
19501,Madison County,GA,Jackson County,GA,187,2284,2284000,1516,2015,2016,inflow,Jackson County-Madison County-GA-1516,"Madison County, GA"
19502,Walton County,GA,Jackson County,GA,97,1502,1502000,1516,2015,2016,inflow,Jackson County-Walton County-GA-1516,"Walton County, GA"
19503,Franklin County,GA,Jackson County,GA,94,1131,1131000,1516,2015,2016,inflow,Jackson County-Franklin County-GA-1516,"Franklin County, GA"
19504,DeKalb County,GA,Jackson County,GA,57,1473,1473000,1516,2015,2016,inflow,Jackson County-DeKalb County-GA-1516,"DeKalb County, GA"
19505,Oconee County,GA,Jackson County,GA,66,1526,1526000,1516,2015,2016,inflow,Jackson County-Oconee County-GA-1516,"Oconee County, GA"
19506,Forsyth County,GA,Jackson County,GA,71,2129,2129000,1516,2015,2016,inflow,Jackson County-Forsyth County-GA-1516,"Forsyth County, GA"
19507,Fulton County,GA,Jackson County,GA,49,2015,2015000,1516,2015,2016,inflow,Jackson County-Fulton County-GA-1516,"Fulton County, GA"
