,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2,prim_county,sec_county,sec_county_state,yr_range2,sec_unique
188,Jackson County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,93,3056000,72,1823000,21,1233000,Jackson County,Jackson County-Forsyth County-GA,Jackson County,Forsyth County,GA,1718,"Forsyth County, GA"
189,Jackson County-Franklin County-GA-1718,"Franklin County, GA",1718,2017,2018,84,1246000,169,2487000,-85,-1241000,Jackson County,Jackson County-Franklin County-GA,Jackson County,Franklin County,GA,1718,"Franklin County, GA"
190,Jackson County-Walton County-GA-1718,"Walton County, GA",1718,2017,2018,95,2716000,80,1470000,15,1246000,Jackson County,Jackson County-Walton County-GA,Jackson County,Walton County,GA,1718,"Walton County, GA"
193,Lumpkin County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,320,10528000,207,4537000,113,5991000,Lumpkin County,Lumpkin County-Forsyth County-GA,Lumpkin County,Forsyth County,GA,1718,"Forsyth County, GA"
197,Lumpkin County-Fulton County-GA-1718,"Fulton County, GA",1718,2017,2018,78,6344000,46,1469000,32,4875000,Lumpkin County,Lumpkin County-Fulton County-GA,Lumpkin County,Fulton County,GA,1718,"Fulton County, GA"
198,Lumpkin County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,60,1233000,35,1033000,25,200000,Lumpkin County,Lumpkin County-Gwinnett County-GA,Lumpkin County,Gwinnett County,GA,1718,"Gwinnett County, GA"
203,White County-Gwinnett County-GA-1718,"Gwinnett County, GA",1718,2017,2018,67,1900000,32,651000,35,1249000,White County,White County-Gwinnett County-GA,White County,Gwinnett County,GA,1718,"Gwinnett County, GA"
204,White County-Forsyth County-GA-1718,"Forsyth County, GA",1718,2017,2018,69,2265000,47,1556000,22,709000,White County,White County-Forsyth County-GA,White County,Forsyth County,GA,1718,"Forsyth County, GA"
209,Banks County-Franklin County-GA-1819,"Franklin County, GA",1819,2018,2019,46,766000,57,1028000,-11,-262000,Banks County,Banks County-Franklin County-GA,Banks County,Franklin County,GA,1819,"Franklin County, GA"
210,Banks County-Madison County-GA-1819,"Madison County, GA",1819,2018,2019,52,953000,42,1037000,10,-84000,Banks County,Banks County-Madison County-GA,Banks County,Madison County,GA,1819,"Madison County, GA"
212,Dawson County-Forsyth County-GA-1819,"Forsyth County, GA",1819,2018,2019,912,30356000,491,14495000,421,15861000,Dawson County,Dawson County-Forsyth County-GA,Dawson County,Forsyth County,GA,1819,"Forsyth County, GA"
215,Dawson County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,147,4676000,47,1381000,100,3295000,Dawson County,Dawson County-Gwinnett County-GA,Dawson County,Gwinnett County,GA,1819,"Gwinnett County, GA"
216,Dawson County-Fulton County-GA-1819,"Fulton County, GA",1819,2018,2019,124,7397000,66,2787000,58,4610000,Dawson County,Dawson County-Fulton County-GA,Dawson County,Fulton County,GA,1819,"Fulton County, GA"
217,Dawson County-Pickens County-GA-1819,"Pickens County, GA",1819,2018,2019,73,1826000,39,1236000,34,590000,Dawson County,Dawson County-Pickens County-GA,Dawson County,Pickens County,GA,1819,"Pickens County, GA"
222,Habersham County-Stephens County-GA-1819,"Stephens County, GA",1819,2018,2019,182,3362000,161,3344000,21,18000,Habersham County,Habersham County-Stephens County-GA,Habersham County,Stephens County,GA,1819,"Stephens County, GA"
223,Habersham County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,141,6310000,62,1915000,79,4395000,Habersham County,Habersham County-Gwinnett County-GA,Habersham County,Gwinnett County,GA,1819,"Gwinnett County, GA"
224,Habersham County-Rabun County-GA-1819,"Rabun County, GA",1819,2018,2019,65,1246000,68,1192000,-3,54000,Habersham County,Habersham County-Rabun County-GA,Habersham County,Rabun County,GA,1819,"Rabun County, GA"
225,Habersham County-Fulton County-GA-1819,"Fulton County, GA",1819,2018,2019,39,1653000,44,1908000,-5,-255000,Habersham County,Habersham County-Fulton County-GA,Habersham County,Fulton County,GA,1819,"Fulton County, GA"
226,Habersham County-Franklin County-GA-1819,"Franklin County, GA",1819,2018,2019,48,864000,53,823000,-5,41000,Habersham County,Habersham County-Franklin County-GA,Habersham County,Franklin County,GA,1819,"Franklin County, GA"
229,Hall County-Gwinnett County-GA-1819,"Gwinnett County, GA",1819,2018,2019,2999,109271000,1685,46474000,1314,62797000,Hall County,Hall County-Gwinnett County-GA,Hall County,Gwinnett County,GA,1819,"Gwinnett County, GA"
